CMDLINE python eigs.py
MEM 0.250000 1485209118.8268
MEM 14.910156 1485209118.9271
MEM 22.968750 1485209119.0279
MEM 29.332031 1485209119.1314
MEM 31.917969 1485209119.2339
MEM 36.175781 1485209119.3346
MEM 39.894531 1485209119.4351
MEM 41.906250 1485209119.5368
MEM 43.195312 1485209119.6377
MEM 44.136719 1485209119.7396
MEM 45.539062 1485209119.8398
MEM 47.808594 1485209119.9401
MEM 51.417969 1485209120.0409
MEM 54.894531 1485209120.1419
MEM 59.593750 1485209120.2422
MEM 60.871094 1485209120.3433
